brand,perfume,launch_year,main_accords,notes
Nobile 1942,Cafe Chantant,2013,"vanilla, powdery, fruity, floral, sweet","heliotrope, iris, benzoin, patchouli, vanilla, musk, sour cherry, laurels, star anise"
Santa Maria Novella,Citta di Kyoto,2005,"woody, floral, powdery, balsamic, fresh spicy, smoky","lavender, iris, lotus, birch, cinnamon, peach, plum, cypress, sandalwood, patchouli, guaiac wood, virginia cedar, ebony wood, amber, musk, vanille, incense, orris, jasmine, hyacinth, ylang-ylang, bergamot, orange, hawthorn, rose"
Mark Buxton,Devil In Disguise,2012,"woody, floral, fresh spicy, aromatic, earthy, sweet","magnolia, neroli, patchouli, vetiver, musk, rhubarb leaf, ginger"
Clinique,Clinique Happy In Bloom 2014,2014,"floral, green, sweet, fruity, musky","green notes, lily-of-the-valley, mimosa, freesia, amber, musk, plum"
Replay,Jeans Spirit for Him,2011,"marine, aromatic, salty, patchouli, ozonic","sea water, ginger, passionfruit, coral reef, patchouli, violet leaf, mandarin orange, peony"
Victoria s Secret,Love to Flirt,2012,"floral, citrus, fresh, rose, sweet","clementine, peony"
Teone Reinthal Natural Perfume,Myrrh,2016,"warm spicy, balsamic, citrus, woody, floral, herbal","bitter orange, saffron, artemisia, pandanus, champaca, cardamom, cloves, neroli, rose de mai, sandalwood, myrrh, agarwood (oud)"
Chloe,Chloe Eau de Parfum,2008,"floral, rose, fresh, fruity, tropical","rose, lily-of-the-valley, magnolia, amber, virginia cedar, peony, freesia, litchi"
Crabtree Evelyn,Hungary Water Eau de Cologne,2013,"aromatic, fresh spicy, woody, green, citrus","rosemary, cypress, geranium, amber, musk, sandalwood, pink pepper, mint, bergamot"
Christian Dior,Miss Dior Le Parfum,2012,"amber, patchouli, rose, vanilla, citrus","turkish rose, bulgarian rose, patchouli, amber, vanilla, mandarin orange"
Jasper Conran,Jasper Conran Her,2003,"citrus, fresh spicy, aromatic, green, woody","lime, ylang-ylang, geranium, amber, musk, oakmoss, vetiver, ginger, lemon, petitgrain paraguay"
Sylvie de France,Mon Ideal Chypre,2011,nan,nan
FL Parfums,Roses du Jardin,0,"rose, floral, citrus",rose
One of Those,Helium 2He,2012,"warm spicy, cinnamon, balsamic, woody, tobacco","bergamot, iris, damask rose, benzoin, styrax, cinnamon, guaiac wood, clary sage, tobacco, vetiver, patchouli"
Cosmopolitan,Cosmopolitan,2015,"sweet, fruity, warm spicy, powdery, vanilla","saffron, heliotrope, jasmine, pimento, carrot seeds, tonka bean, patchouli, musk, sandalwood, vanilla, caramel, pineapple, bergamot, mandarin orange, nectarine, pink pepper"
Xerjoff,Dhofar,2009,"aromatic, fresh spicy, woody, herbal, balsamic","african orange flower, bay leaf, galbanum, nard himalayan (jatamansi), rose, carnation, patchouli, sandalwood, french labdanum, vanilla, ambergris, resins, lavender, pine, bergamot, grapefruit, lemon, sage, basil, coriander, litsea cubeba"
Clash,Off Road,2015,"citrus, woody, green, white floral, floral, earthy","jasmine, lily-of-the-valley, neroli, tea, musk, oakmoss, sandalwood, vetiver, bergamot, grapefruit, green mandarin"
Nabeel,Lamya,0,"rose, woody, oud, citrus, warm spicy","rose, saffron, teak wood, agarwood (oud), vetiver, white musk, amber, lemon"
Puma,Jamaica Man,2008,"aromatic, herbal, fresh spicy, green, citrus","galbanum, jasmine, rose, geranium, sandalwood, amber, vanilla, mandarin orange, tarragon, sage, lemon, thyme"
Lancome,Trophee,1982,"citrus, fresh spicy, aromatic, woody, green","lavender, jasmine, bay leaf, musk, french labdanum, patchouli, oak moss, virginia cedar, amber, tonka bean, petitgrain, amalfi lemon, lime, basil"
Tiffi,Pure,0,"citrus, white floral, rose, woody, musky","cedar, musk, jasmine, rose, lemon, sweet orange"
Crabtree Evelyn,Nomad,1999,"woody, fresh spicy, green, warm spicy, citrus","ginger, bamboo, cloves, sandalwood, cedar, teak wood, green tea, lemon tree"
Le Prince Jardinier,Precieuse Orchidee,0,"powdery, floral, vanilla, white floral, musky","orchid, amber, vanilla, musk, jasmine, bergamot, sandalwood"
Cont m 1g,Pink Femme Night,2014,"musky, caramel, fruity, sweet, woody, white floral","jasmine, lily-of-the-valley, vanilla, caramel, sandalowood, musk, fruity notes"
Jean Paul Gaultier,Classique X Extrait,2010,"white floral, rose, citrus, sweet, tuberose, vanilla","african orange flower, tuberose, amber, vanille, rose"
Charrier Parfums,Croyance Or,0,"fruity, rose, sweet, musky, floral","rose, orchid, plum, blackberry, musk, woody notes, violet"
Daisy Fuentes,Dianoche Love Night,2009,"white floral, floral, vanilla, fresh, animalic, fruity","gardenia, mandarin orange, peony, white peach, jasmine, teak wood, amber, vanilla"
Cacharel,Noa Dream,2009,"white floral, fresh spicy, balsamic, citrus, woody","gardenia, jasmine, peach, amber, sandalwood, patchouli, yuzu, litchi, pepper"
Laurelle London,Sexxy Shoo Red,2012,"citrus, vanilla, patchouli, rose, white floral, warm spicy","jasmine, rose, vanilla, patchouli, bergamot, orange, peach"
Jequiti,Anitta Irresist vel,2016,"floral, fruity, fresh, powdery, warm spicy, fresh spicy","osmanthus, peony, magnolia, geranium, sandalwood, musk, patchouli, heliotrope, apple, cherry blossom, apricot, mandarin orange"
Chopard,Oud Malaki,2012,"tobacco, oud, warm spicy, animalic, woody, amber","tobacco, spices, leather, agarwood (oud), dark woodsy notes, ambergris, grapefruit, lavender, artemisia"
NANA M,Reve Fou,2015,"woody, warm spicy, fresh spicy, sweet, balsamic, cinnamon","rose de mai, raspberry, cinnamon, violet, siam benzoin, vanilla, patchouli, rosebay willowherb, balsam fir, artemisia, bitter orange"
A Wing A Prayer Perfumes,Pink Pamplemousse,2008,"citrus, fresh, fresh spicy, green, soapy, woody","citruses, methyl pamplemousse"
Parfums de la Bastide,Ardent,2014,"woody, warm spicy, aromatic, fresh spicy, powdery, balsamic","cardamom, nutmeg, cypress, cumin, cedar, cashmere wood, sandalwood"
Michel Klein,Premier Rendez Vous,1997,nan,nan
Michael Kors,Wonderlust,2016,"almond, floral, powdery, balsamic, woody, citrus","dianthus, heliotrope, benzoin, sandalwood, almond milk, bergamot, pink pepper"
CIEL Parfum,Soleil 7,0,"honey, white floral, sweet, aldehydic, floral","jasmine, heliotrope, cloves, musk, honey, aldehydes, ylang-ylang, rose"
Armaf,Le Femme,0,"white floral, citrus, warm spicy, woody, sweet, patchouli","lily-of-the-valley, jasmine, saffron, rose, patchouli, white musk, vanilla, woody notes, gardenia, orange, plum, bergamot"
Eau Jeune,Secret Elixir,2008,"woody, citrus, powdery, vanilla, white floral, balsamic","jasmine, freesia, rose, sandalwood, virginia cedar, vanille, citron, kumquat, red apple"
Galimard,Eau de Romarin,0,"aromatic, citrus, balsamic, fresh spicy, fresh, green","lemon, rosemary, tonka bean, patchouli, lemon, rosemary"
Custo Barcelona,Custo Woman L Eau,2014,"citrus, aromatic, floral, white floral, fresh, fruity","jasmine, peony, fruity notes, woody notes, tonka bean, musk, galbanum, grapefruit, bergamot"
Calvin Klein,Eternity Summer 2015,2015,"aquatic, floral, fresh, ozonic, fruity, citrus","peony, water lily, hyacinth, sandalwood, musk, white amber, pear, mandarin orange, watermelon"
Jequiti,La Vie En Rose Paris,2016,"sweet, citrus, rose, caramel, woody, fruity","orange blossom, rose, praline, cedar, caramel, musk, tangerine, raspberry, iris"
D S Durga,Osmanthus,2011,"aromatic, fresh spicy, floral, citrus, white floral, fresh","citruses, african orange flower, lavender, osmanthus, rosemary"
Carla Fracci,Odette,2008,"fruity, marine, fresh, aromatic, woody, citrus","freesia, jasmine, amber, musk, cedar, mahogany, teak wood, pineapple, melon, green apple, amalfi lemon, sea water"
Divage,Follow Me,2013,"floral, rose, white floral, fruity, fresh, sweet","rose, jasmine, lilac, fruity notes, spicy notes, musk"
Arno Sorel,Sensuelle,0,"patchouli, warm spicy, balsamic, woody, earthy, rose","jasmine, rose, oakmoss, lily-of-the-valley, sandalwood, patchouli, vanilla, musk, bergamot, peach"
Bejar,Shadow,0,"warm spicy, woody, amber, balsamic, cinnamon","patchouli, sandalwood, cashmere wood, sweet notes, amber, cinnamon, saffron, nutmeg"
DSH Perfumes,Pink Gardenia,0,"white floral, musky, citrus, animalic, amber","gardenia, tuberose, musk, amber, bergamot"
Masik Collegiate Fragrances,North Carolina State Men,2013,"aromatic, woody, warm spicy, citrus, fresh spicy","juniper berries, lavender, blue sage, cedar, patchouli, tonka bean, sandalwood, bergamot, lemon, cardamom"
Crusellas Company,Colonia de Albahaca Basil,0,"fresh spicy, green, herbal, fresh",basil
The Scent of Departure,Budapest BUD,2011,"woody, musky, citrus, warm spicy, fresh, powdery","paprika, pepper, saffron, cloves, violet, water notes, white musk, woodsy notes, cedar, bergamot, lemon, elemi"
Antica Farmacista,Magnolia Orchid Mimosa,0,"floral, powdery, sweet, fruity, woody","magnolia, orchid, mimosa, acai berry, woody notes"
10th Avenue Karl Antony,Ma Fleur Glamour,2015,"citrus, fruity, animalic, vanilla, amber, white floral","jasmine, melati, ambergris, vanilla, tonka bean, white musk, grapefruit, black currant, blood orange"
Molinard,Rafale,1977,"woody, aromatic, fresh spicy, citrus, green","artemisia, juniper berries, basil, sandalwood, patchouli, lavender, lemon, bergamot, mandarin orange, jasmine, lily-of-the-valley, cedar, vetiver"
Miss Sixty,Miss Sixty Flower Power,2007,"citrus, floral, fruity, aquatic, woody","magnolia, violet, freesia, jasmine, apple, rose, iris, amber, coconut, musk, vanilla, vetiver, black currant, mandarin orange, pink grapefruit, pear, watermelon"
Gandini 1896,Blue Musk,2010,"woody, coconut, floral, powdery, musky","iris, water lily, champaca, teak wood, virginia cedar, musk, black currant, coconut, walnut"
Aramis,Tuscany Per Uomo Forte,1994,"woody, aromatic, floral, fresh spicy, powdery, balsamic","nutmeg, star anise, carnation, geranium, iris, rose, cedar, sandalwood, tonka bean, oakmoss, amber, musk, lavender, tarragon, palisander rosewood, lemon, bergamot"
La Rive,Sweet Rose,0,"vanilla, rose, fresh spicy, sweet, floral","peony, geranium, rose, vanilla, nutmeg, tonka bean, pink pepper, grapefruit, pear"
Jeanne Arthes,Rocky Man White,0,"aromatic, rose, fresh spicy, floral, woody","lavender, rose, woodsy notes"
Zara,Zara Black Tag Intense,2014,"leather, fresh spicy, woody, citrus, animalic","bergamot, black pepper, cedar, leather, suede"
Bath and Body Works,Sheer Japanese Cherry Blossom,2009,"fruity, floral, fresh, woody, aquatic, sweet","cherry blossom, jasmine, peony, water lily, woodsy notes, sandalwood, vanilla, musk, pear, red apple, green notes, cassis, litchi"
Kiss Cosmetics,Kiss Her,2006,"floral, fresh spicy, sweet, green, woody, white floral","fig leaf, pepper, red poppy, orchid, lily, amber, musk, leather, mahogany"
Pinaud Clubman,Virgin Island Bay Rum,0,"warm spicy, fresh spicy, rum, camphor, aromatic","bay leaf, spicy notes, rum"
Jacques Evard,Remittance,0,"woody, aromatic, balsamic, green, citrus, musky","lavender, eucalyptus, musk, sandalwood, virginia cedar, tonka bean, amalfi lemon, tea"
Johan B,So Love,0,"sweet, citrus, fruity, green, vanilla","freesia, peach, toffee, apple, rose, sugar, cedar, patchouli, vanilla, musk, raspberry, sandalwood, sugar, lemon, tangerine, green notes"
Kenzo,Air,2003,"soft spicy, woody, aromatic, sweet, green, musky","caraway, amber, vetiver, anise, cedar, bergamot, angelica, licorice"
Armaf,De La Marque Gold,0,"white floral, citrus, musky, amber, vanilla, powdery","iris, orange blossom, jasmine, rose, musk, vanilla, labdanum, neroli, pink pepper, bergamot"
Laura Mercier,Eau Gourmande Marrons Glaces,2006,"vanilla, amber, powdery, floral, animalic","cyclamen, amber, vanilla, jasmine, heliotrope"
Neil Morris,Briar,2013,"woody, warm spicy, aromatic, earthy, balsamic, patchouli","carnation, woody notes, tonka bean, virginia cedar, russian leather, agarwood (oud), oakmoss, patchouli"
Adidas,Adidas 3 Extreme Pour Elle,0,"floral, vanilla, patchouli, warm spicy, fruity, balsamic","null, tonka bean, patchouli, musk, vanilla, magnolia, fruity notes"
CJ Scents,Flirt,0,"caramel, sweet, woody, coconut, vanilla","caramel, coconut, sandalwood, tahitian vanilla"
Tom Tailor,Tom Tailor College Sport Man,2014,"citrus, powdery, vanilla, woody, amber, floral","orange blossom, orris root, amber, musk, vanilla, bergamot, orange"
Heidi Klum,Shine Blue,2013,"aquatic, ozonic, fresh, white floral, citrus, woody","rose, watery notes, frangipani, sandalwood, cedar, musk, bergamot, watermelon, lily-of-the-valley"
Atkinsons,Sport Blue Sky,2010,"aromatic, green, woody, fresh spicy, musky","geranium, neroli, cedar, oakmoss, musk, mint, green notes, coriander"
Severnoye Siyanie,Barocco,0,"white floral, rose, yellow floral, animalic, sweet","rose, jasmine, ylang-ylang"
Mel Merio,Blue Lagoon,2012,nan,nan
Des Filles a la Vanille,L Important C est D Aimer,0,"white floral, vanilla, citrus, floral, powdery","jasmine, orchid, musk, vanilla, bergamot, lemon"
Yves Rocher,En Avril Un Soir,1976,"woody, floral, aldehydic, white floral, powdery","jasmine, freesia, rose, musk, iris, sandalwood, patchouli, oak moss, virginia cedar, african orange flower, ylang-ylang, bergamot, aldehydes"
Lanvin,Vetyver,2003,"woody, aromatic, fresh spicy, citrus, green","jasmine, nutmeg, caraway, cloves, bitter orange, sandalwood, amber, musk, vetiver, cedar, lime, juniper, bergamot, lemon"
Hilde Soliani,Bosschiisssimo,0,"woody, aromatic, green, balsamic, fresh spicy",pine tree
Dina Cosmetics,Imperial Silver Brown,0,"warm spicy, marine, green, woody, balsamic","green notes, spicy notes, sea notes, benzoin, woody notes"
Aftelier,Fir,0,"fruity, woody, fresh spicy, aromatic, sweet, fresh","fir, fruity notes"
Rubino Cosmetics,Shock,2009,"citrus, floral, white floral, woody, musky","lily-of-the-valley, white flowers, violet, white musk, precious woods, lemon, grapefruit, mandarin orange, sea notes"
Charrier Parfums,Kinou,0,"fruity, sweet, powdery, floral, woody","rose, violet, apple blossom, jasmine, litchi, plum, cedar, musk, grapefruit, raspberry, pear"
Etat Libre d Orange,Philippine Houseboy,2012,"aromatic, warm spicy, citrus, green, coconut","citruses, shiso, cardamom, coriander, cinnamon, coconut, mojito"
Donna Karan,DKNY Be Delicious NYC,2012,"aquatic, ozonic, green, fruity, fresh, floral","tuberose, rose, lily-of-the-valley, violet, green apple, sandalwood, woodsy notes, amber, grapefruit, cucumber, magnolia"
Alexandra de Markoff,Alexandra,1979,"woody, aromatic, patchouli, powdery, herbal, earthy","french narcissus, jasmine, moroccan rose, singapore patchouli, sandalwood, vetiver, south african sage, italian iris"
Calvin Klein,Obsession Night for Men,2005,"warm spicy, vanilla, fresh spicy, aromatic, fruity, patchouli","nutmeg, musk, patchouli, vanilla, vetiver, artemisia, grapefruit, pear, cardamom"
Jacomo,It s Me For Her,2011,"fruity, sweet, patchouli, floral, woody, powdery","freesia, lily-of-the-valley, pear, dried fruits, musk, iris, jasmine, sandalwood, patchouli, mandarin orange, pineapple, anise"
Pecksniff s,Oud Wood Vetiver,0,"woody, caramel, honey, oud, sweet","agarwood (oud), honey, vetiver, caramel"
AK France,Bourmunque,2016,"citrus, aromatic, woody, marine, powdery, balsamic","egyptian jasmine, lily-of-the-valley, french violet, texas cedar, sandalwood, haitian vetiver, tonka bean, amber, white musk, sicilian lemon, pink pepper, peach, sea water, bergamot"
Bond No 9,Madison Avenue,2016,"fruity, patchouli, sweet, rose, citrus","rose, jasmine, magnolia, patchouli, praline, ambroxan, apple, bergamot, blackberry"
Deborah,Fantasy Flowers Sky Blue,2005,"musky, powdery, white floral, floral, warm spicy, citrus","jasmine, violet, musk, citruses, spices"
D S Durga,Orris Root,0,"powdery, woody, floral",orris root
Arno Sorel,Sham n Dream,0,"woody, powdery, floral, citrus, vanilla, balsamic","rose, violet, heliotrope, lily-of-the-valley, musk, patchouli, oakmoss, vanilla, sandalwood, cedar, lemon, melon, galbanum, mandarin orange, bergamot"
Paul Smith,Paul Smith Sunshine For Men 2016,2016,"citrus, fresh spicy, soft spicy, woody, aromatic, fresh","nutmeg, carambola (star fruit), coriander, anise, cedar, olibanum, moss, grapefruit, coriander leaf, black pepper"
Manuel Canovas,Pink Riviera,2007,"citrus, green, rose, aromatic, fresh spicy","sandalwood, turkish rose, egyptian jasmine, amber, white musk, mint, grapefruit, bergamot, italian mandarin , citron"
Lanoe,Pacific Rain,2014,nan,nan
Helan,Ibisco,0,"floral, patchouli, fresh spicy, musky, citrus","lily-of-the-valley, moroccan jasmine, hibiscus, water hyacinth, patchouli, haitian vetiver, white musk, calabrian bergamot, lemon, indonesian pepper, pink pepper"
Sammi Sweetheart,Dangerous Desires,2012,"fruity, sweet, coconut, citrus, floral, tropical","osmanthus, peach, orchid, musk, sandalwood, coconut, plum, grapefruit, orange, melon, apricot"
Axis,Floral Bouquet,2015,"rose, fruity, woody, sweet, vanilla, patchouli","jasmine, rose, lily-of-the-valley, cedar, patchouli, musk, amber, vanilla, bergamot, peach, plum"
Santi Burgas,LOTREE,2013,"woody, powdery, leather, balsamic, animalic","cedar, sandalwood, woodsy notes, leather"
Jessica McClintock,Brilliance,2010,"floral, green, musky, fresh, woody","lilac, jasmine sambac, lily-of-the-valley, sandalwood, musk, white woods, bergamot, green notes"
Giorgio Monti,Memphis,2009,"green, vanilla, citrus, white floral, woody, floral","lily-of-the-valley, jasmine, vanilla, vetiver, apple, orange"
Ravenscourt Apothecary,Mr Rochester,2013,"fresh spicy, warm spicy, balsamic, cinnamon, aromatic, smoky","black pepper, cinnamon, incense, sage, ginger"
C O Bigelow,Vanilla,0,"vanilla, powdery, sweet, soft spicy, woody",vanilla
Versace,Jeans Woman,2004,"white floral, floral, fresh spicy, fresh, citrus","jasmine, nutmeg, rose, musk, amber, vanille, african orange flower, neroli, freesia, lilac"
Crusellas Company,Misas Espirituales Spiritual Masses,0,"aromatic, balsamic, fresh spicy, smoky, floral","incense, lavender"
L Artisan Parfumeur,Mon Numero 4,2011,"aromatic, fresh spicy, floral, leather, vanilla","lavender, leather, vanilla"
Milton Lloyd,Aroma di Jean,0,"citrus, aromatic, marine, green, aquatic","violet, water lily, sea notes, cedar, patchouli, bergamot, lemon, watermelon, green notes"
Hugo Boss,Boss Bottled,1998,"woody, vanilla, fruity, warm spicy, cinnamon","mahogany, carnation, cinnamon, sandalwood, olive tree, vanilla, vetiver, cedar, plum, oakmoss, apple, lemon, bergamot, geranium"
Frances Denney,Night Life,1939,nan,nan
Black Phoenix Alchemy Lab,Muse,0,"white floral, tuberose, citrus, animalic, conifer","tuberose, jasmine, lotus, lime"
Providence Perfume Co,Tabac Citron,2009,"citrus, woody, aromatic, white floral, fresh spicy, sweet","lavender, ylang-ylang, rose, sandalwood, white tobacco, palisander rosewood, grapefruit, amalfi lemon"
Est e Lauder,Private Collection Amber Ylang Ylang,2008,"amber, vanilla, yellow floral, woody, balsamic, powdery","bulgarian rose, cinnamon, incense, vanilla, sandalwood, amber, ylang-ylang, bergamot, geranium"
Novaya Zarya,Ralli,1976,nan,nan
Adidas,Pure Game,2010,"fresh spicy, citrus, woody, aromatic, balsamic","lavender, guaiac wood, cypress, sandalwood, patchouli, incense, tonka bean, grapefruit, mandarin orange, basil, pepper"
Halle Berry,Reveal The Passion,2011,"fruity, sweet, tropical, floral, yellow floral","mangosteen, champaca, woodsy notes, patchouli, musk, bergamot, freesia, red apple, fruity notes, water notes"
Anne M ller,Perfect Day,0,"fruity, woody, musky, white floral, fresh, aquatic","jasmine, cyclamen, cedar, musk, green apple, watermelon"
Acqua di Parma,Acqua di Parma Blu Mediterraneo Cipresso di Toscana,2005,"aromatic, woody, fresh spicy, green, herbal","pine tree, coriander, lavender, jasmine, lily-of-the-valley, cardamom, cypress, silver pine, patchouli, oakmoss, vetiver, cedar, rosemary, basil, grapefruit, sage, petitgrain"
Hov Parfumeur Ltd,Rose Celeste,0,"rose, floral, citrus",white rose
Jil Sander,Sun Delight,2006,"sweet, vanilla, cacao, white floral, citrus","dark chocolate, vanilla, frangipani, vanilla orchid, musk, woodsy notes, cedar, mignonette, passionfruit, sicilian bergamot"
LR,Emma Heming Willis Essence of Amber,2016,"balsamic, citrus, aromatic, warm spicy, woody, patchouli","orange, patchouli, sandalwood, tonka bean, bergamot"
Pimkie,Love Island,0,"fruity, floral, sweet, sour","floral notes, fruity notes"
Kat Burki,Trellis,2014,"woody, rose, musky, citrus, green","jasmine, rose, lily-of-the-valley, ylang-ylang, musk, woody notes, amber, palisander rosewood, sandalwood, orris root, green notes, orange"
Jo Malone,Jade Leaf Tea,2016,"fresh spicy, citrus, woody, balsamic, fresh, green","grapefruit, sesame, olibanum, fir resin, mate"
Estiara,Dark Green,0,"floral, powdery, woody, aquatic, green, rose","tuberose, rose, violet, lily-of-the-valley, apple, white amber, sandalwood, cucumber, grapefruit, magnolia"
Anna Paghera,Blu d Arabia,0,"floral, green, fresh spicy, white floral, fresh","wisteria, jasmine, white datura, ylang-ylang, blue hyacinth, lily-of-the-valley"
Bottega Verde,Magnolia Nera,0,"floral, woody, powdery, fruity, vanilla, sweet","magnolia, rose, jasmine, iris, sandalwood, cedar, patchouli, vanilla, musk, mandarin orange, peach, red berries"
Lorenzo Villoresi,Ylang Ylang,2014,"white floral, sweet, aromatic, yellow floral, fresh spicy","ylang-ylang, rose, jasmine sambac, tiare flower, vanilla, tonka bean, ylang-ylang, orange blossom, jasmine, bourbon geranium, neroli"
Teufels Kuche,Patchouli Flamy Vanille,0,"vanilla, warm spicy, patchouli, cinnamon, earthy","patchouli, vanilla, cinnamon"
Bella Bellissima,Riviera Lime,2014,"citrus, woody, warm spicy, aromatic, green, fresh spicy","saffron, woody notes, italian lemon, calabrian bergamot"
Jequiti,Eu Desejo Amor,2014,"fruity, sweet, sour","red fruits, fruity notes"
Marks and Spencer,Rosie for Autograph Nuit Parfum,2015,"floral, woody, rose, fruity, powdery","rose, jasmine, lily-of-the-valley, freesia, musk, violet, white woods, bergamot, pink peony, black currant"
Mizensir,Bois de Mysore,2016,"warm spicy, woody, citrus, balsamic, white floral","sandalwood, jasmine, violet leaf, sandalwood, white musk, tangerine, neroli, cardamom"
Miya Shinma,Yuki,2015,"woody, vanilla, musky, amber, aromatic, white floral","jasmine, woody notes, vanilla, oakmoss, amber, musk, lavender"
Loewe,Un balc n sobre el paseo del Prado,2012,"oud, warm spicy, rose, yellow floral, woody","cedar, iris, amber, agarwood (oud), musk, ylang-ylang, rose, saffron"
Rance 1795,Heroique,2015,"woody, fruity, sweet, earthy, citrus","jasmine, rose, patchouli, birch, amber, vanilla, oakmoss, teak wood, white musk, apple, pineapple, bergamot, black currant"
